,home_elo,away_elo,spread,h_drives,h_d_explosiveness,h_d_successrate,h_d_stuffrate,h_d_totalPPA,h_o_explosiveness,h_o_successrate,h_o_stuffrate,h_o_totalPPA,home_team_cover_spread,home_conference_ACC,home_conference_American Athletic,home_conference_Big 12,home_conference_Big Ten,home_conference_Conference USA,home_conference_FBS Independents,home_conference_Mid-American,home_conference_Mountain West,home_conference_Pac-12,home_conference_SEC,home_conference_Sun Belt,away_conference_ACC,away_conference_American Athletic,away_conference_Big 12,away_conference_Big Ten,away_conference_Conference USA,away_conference_FBS Independents,away_conference_Mid-American,away_conference_Mountain West,away_conference_Pac-12,away_conference_SEC,away_conference_Sun Belt,neutral_site_False,neutral_site_True,week
0,0.36328725,0.560706402,0.755813953,0.545454545,0.525943476,0.533938608,0.189655172,0.686762271,0.328233341,0.530377668,0.304347826,0.467732663,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1,0.466973886,0.458425313,0.447674419,0.454545455,0.311295425,0.155642023,0.295698925,0.258220423,0.173751564,0.677011494,0.333333333,0.487121382,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2,0.520737327,0.178807947,0.331395349,0.363636364,0.504999056,0.414199515,0.545045045,0.450794465,0.252425367,0.599883603,0.208333333,0.490175425,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
3,0.362519201,0.406181015,0.627906977,0.090909091,0.430090327,0.502117189,0.329059829,0.595900704,0.366020106,0.433869732,0.148148148,0.267459395,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
4,0.22734255,0.507726269,0.691860465,0.272727273,0.260224248,0.424010071,0.333333333,0.445528361,0.360928299,0.414189457,0.25,0.233661279,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
5,0.41781874,0.25607064,0.715116279,0.454545455,0.528817818,0.670783285,0.255813953,0.762526393,0.197520501,0.436781609,0.25,0.024834162,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
6,0.681259601,0.487122884,0.372093023,0.818181818,0.460385196,0.551821719,0.662037037,0.73485762,0.357382369,0.643205794,0.6875,0.508221281,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
7,0.598310292,0.453274467,0.523255814,0.545454545,0.509473375,0.435581496,0.244444444,0.47806168,0.513495687,0.486095662,0.424242424,0.474919503,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
8,0.577572965,0.394407653,0.197674419,0.454545455,0.372807026,0.388541138,0.543209877,0.441539039,0.230090461,0.716118685,0.2,0.671425113,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
9,0.396313364,0.314201619,0.372093023,0.636363636,0.54383539,0.345902953,0.48245614,0.380001738,0.355726147,0.621999127,0.408163265,0.504186364,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
10,0.573732719,0.585724798,0.651162791,0.545454545,0.443803337,0.426149992,0.23655914,0.444495451,0.313380447,0.545977011,0.210526316,0.455711847,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
11,0.576804916,0.233995585,0.191860465,0,0.344298302,0.023711089,0.48245614,0.263479719,0.13262866,0.879802956,0.040816327,0.639667359,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
12,0.385560676,0.395879323,0.680232558,0.727272727,0.404402635,0.393048691,0.385964912,0.497551127,0.18748978,0.224909933,0.6875,0.132885306,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
13,0.51843318,0.488594555,0.360465116,0.454545455,0.43976148,0.38640294,0.379310345,0.499052435,0.498542393,0.575757576,0.266666667,0.444444191,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
14,0.215053763,0.167034584,0.5,0.363636364,0.220228555,0.379377432,0.564102564,0.330536635,0.164442944,0.776127321,0.352941176,0.522371979,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
